OBJECTID,DuuID,Meta_ProcessID,ProcessDescription,ProcessDate,AttributeAccuracyreport,LogicalConsistencyReport,CompletenessReport,HorizPositionalAccuracyReport,VertPositionalAccuracyReport,MetadataStandardName,MetadataStandardVersion,MetadataDate,DataSetCredit,ContactOrganization,AddressType,Address,City,StateOrProvince,PostalCode,ContactVoiceTelephone,ContactInstructions,ContactEmailAddress
 Completeness of CDOW data is unknown.
"," For DLG-3 data, statements of horizontal positional accuracy are based on  accuracy statements made for U.S. Geological Survey topographic  quadrangle maps. These maps were compiled to meet National Map  Accuracy Standards. For horizontal accuracy, this standard is  met if at least 90 percent of points tested are within 0.02  inch (at map scale) of the true position.  Additional offsets  to positions may have been introduced where feature density is  high to improve the legibility of map symbols.In addition, the  digitizing of maps is estimated to contain a horizontal  positional error of less than or equal to 0.003 inch standard  error(at map scale) in the two component directions relative  to the source maps.  Visual comparison between the map graphic  (including digital scans of the graphic) and plots or digital  displays of points, lines, and areas, is used as control to  assess the positional accuracy of digital data. Digital map  elements along the adjoining edges of data sets are aligned if  they are within a 0.02 inch tolerance (at map scale). Features  with like dimensionality (for example, features that all are  delineated with lines), with or without like characteristics,  that are within the tolerance are aligned by moving the  features equally to a common point. Features outside the  tolerance are not moved; instead, a feature of type connector  is added to join the features. The horizontal positional accuracy of the CDOW data is unknown."," For DLG-3 data, statements of vertical positional accuracy for elevation of  water surfaces are  based on accuracy statements made for  U.S. Geological Survey topographicquadrangle maps.  These  maps were compiled to meet National Map Accuracy Standards.   For vertical accuracy, this standard is met if at least 90  percent of well-defined points tested are within one-half  contour interval of the correct value.  Elevations of water  surface printed on the published map meet this standard;  the contour intervals of the maps vary. These elevations  were transcribed into the digital data; the accuracy of  this transcription was checked by visual comparison between  the data and the map.  Vertical Positional Accuracy of CDOW data is unknown.",FGDC Content Standards For Digital Geospatial Metadata,19940608,1/4/2002," U.S. Geological Survey in cooperation with U. S. Environmental Protection Agency and Colorado Department of Wildlife (CDOW).
",U.S. Geological Survey,Mailing and Physical , U.S. Geological Survey Rocky Mountain Mapping Center P.O. Box 25046,Denver,Colorado,80225-0046,(303) 202-4105,Monday-Friday 7AM-3PM MST,None

44,26777,26777, Modified flow relationships for this subbasin.,6/10/2003,None,None,None,None,None,None,None,None,None,U.S. Geological Survey,mailing address,U.S. Geological Survey Rocky Mountain Mapping Center P.O. Box 25046,Denver,Colorado,80225-0046,(303) 202-4557,"Monday-friday,7AM-3PM MT",None

45,26778,26778,Updated stream level attributes based on flow relationships produced by the flow validation process.  Stream level updates were based upon names for named reaches and the arbolate sum for unnamed reaches.  Arbolate sum for any reach on the network is the sum of the lengths of all upstream reaches connected to that reach through flow relationships.,6/11/2003,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None

46,26779,26779, Modified flow relationships for this subbasin.,6/20/2003,None,None,None,None,None,None,None,None,None,U.S. Geological Survey,mailing address,U.S. Geological Survey Rocky Mountain Mapping Center P.O. Box 25046,Denver,Colorado,80225-0046,(303) 202-4557,"Monday-Friday,7AM-3PM MT",None

47,26938,26938," Create high-resolution NHD from revised DLG data.  This  process started with published 1:24,000-scale USGS DLG hydrography files and used DOQs to revise the data.  Features  were modified to the DOQ only where compelling evidence of  change existed. DLG files were converted to NHD datasets using the 3-to-F process. These files were then edited to remove any conversion errors and to add any required centerlines.  Once all of the Hi-resolution datasets were generated then a  Hi-resolution CU was created using one of two paths.  The first path loaded all of the quad NHD datasets into the FOD and then unloaded a Hi-resolution CU dataset. The second path used FTI to generate the Hi-resolution CU by combining the quad based datasets into a single CU dataset. During this combination any of the 1-D features with the same feature type were snapped  together using a user specified tolerance. After combining the datasets, all of the features that fall outside the 100K HUC boundary were removed. At this point any additional connectors were added to the data. After the Hi-resolution CU was generated, if was conflated to  the appropriate 100K CU. Prior to the actual conflation all of  the Hi-resolution are directions where modified to be directed downstream. Next conflation was performed to conflate reach codes  and associated flow relationships from the 100K NHD data to the  Hi-Resoultion dataset. After the conflation process, editing was performed to correct any conflation errors. At this point new network and 2-D waterbody reaches and associated flow were added  to the dataset. Appropriate stream levels and flow sequences were then applied.       Additional Geographic Names were applied using the appropriate Geographic Names Information System (GNIS) source coverages.   ",1/3/2003," The accuracy of the attributes of the Digital Line Graph  data is estimated to be 98.5 percent. One or more of the  following methods were used to test attribute accuracy:  manual comparison of the source with hardcopy plots;  symbolized display of the digital line graph on an  interactive computer graphic system; selected attributes  that could not be visually verified on plots or on screen  were interactively queried and verified on screen. In  addition, software validated feature types and  characteristics against a master set of types and  characteristics,checked that combinations of types and  characteristics were valid, and that types and  characteristics were valid for the delineation of the  feature. Feature types, characteristics, and other  attributes conform to the Standards for National  Hydrography Dataset - High Resolution (USGS, 1999) as of  the date they were loaded into the database. All names  on the 1:24,000-scale reaches were validated against a  April 1999 extract from the Geographic Names Information  System. The entry and identifier for the names match those  in the Geographic Names Information System. The association  of each name to reaches has been interactively checked  against the April 1999 Geographic Names Information System  names extract, however, operator error could in some cases  apply a name to a wrong reach.  "," Points, nodes, lines, and areas conform to topological rules.   Lines intersect only at nodes, and all nodes anchor the ends  of lines.  Lines do not overshoot or undershoot other lines  where they are supposed to meet. There are no duplicate lines.  Lines bound areas and lines identify the areas to the left and  right of the lines.  Gaps and overlaps among areas do not  exist.  All areas close."," The completeness of the data reflects the published map.  Features found on the ground may have been  eliminated or generalized on the source graphic because of  scale and legibility constraints. In general, streams longer  than one mile (approximately 1.6 kilometers) were collected.  Most streams that flow from a lake were collected regardless  of their length. Only definite channels were collected so  not all swamp/marsh features have stream/rivers delineated  through them.  Lake/ponds 100 feet or greater in the shortest  axis were collected.  Note, however, that these general rules  were applied unevenly among maps during compilation. Transport reaches are defined on nearly all features of type stream/river, canal/ditch, artificial path, and connector. Detailed capture   conditions are provided for every feature type in the Standards  for National Hydrography Dataset - High Resolution (USGS, 1999), available online through http://mapping.usgs.gov/standards/."," Statements of horizontal positional accuracy are based on  accuracy statements made for U.S. Geological Survey topographic  quadrangle maps. These maps were compiled to meet National Map  Accuracy Standards. For horizontal accuracy, this standard is  met if at least 90 percent of points tested are within 0.02  inch (at map scale) of the true position.  Additional offsets  to positions may have been introduced where feature density is  high to improve the legibility of map symbols.In addition, the  digitizing of maps is estimated to contain a horizontal  positional error of less than or equal to 0.003 inch standard  error(at map scale) in the two component directions relative  to the source maps.  Visual comparison between the map graphic  (including digital scans of the graphic) and plots or digital  displays of points, lines, and areas, is used as control to  assess the positional accuracy of digital data. Digital map  elements along the adjoining edges of data sets are aligned if  they are within a 0.02 inch tolerance (at map scale). Features  with like dimensionality (for example, features that all are  delineated with lines), with or without like characteristics,  that are within the tolerance are aligned by moving the  features equally to a common point. Features outside the  tolerance are not moved; instead, a feature of type connector  is added to join the features. "," Statements of vertical positional accuracy for elevation of  water surfaces are  based on accuracy statements made for  U.S. Geological Survey topographicquadrangle maps.  These  maps were compiled to meet National Map Accuracy Standards.   For vertical accuracy, this standard is met if at least 90  percent of well-defined points tested are within one-half  contour interval of the correct value.  Elevations of water  surface printed on the published map meet this standard;  the contour intervals of the maps vary. These elevations  were transcribed into the digital data; the accuracy of  this transcription was checked by visual comparison between  the data and the map.",FGDC Content Standards For Digital Geospatial Metadata,19940608,11/21/2000, U.S. Geological Survey in cooperation with U. S. Environmental Protection Agency and State Cooperators,U.S. Geological Survey,Mailing and Physical , U.S. Geological Survey Rocky Mountain Mapping Center P.O. Box 25046,Denver,Colorado,80225-0046,(303) 202-4557,Monday-Friday 7AM-3PM CST,None

48,26942,26942,Updated stream level attributes based on flow relationships produced by the flow validation process.  Stream level updates were based upon names for named reaches and the arbolate sum for unnamed reaches.  Arbolate sum for any reach on the network is the sum of the lengths of all upstream reaches connected to that reach through flow relationships.,4/24/2003,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None

49,26943,26943,Updated stream level attributes based on flow relationships produced by the flow validation process.  Stream level updates were based upon names for named reaches and the arbolate sum for unnamed reaches.  Arbolate sum for any reach on the network is the sum of the lengths of all upstream reaches connected to that reach through flow relationships.,4/24/2003,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None

50,26946,26946,Updated stream level attributes based on flow relationships produced by the flow validation process.  Stream level updates were based upon names for named reaches and the arbolate sum for unnamed reaches.  Arbolate sum for any reach on the network is the sum of the lengths of all upstream reaches connected to that reach through flow relationships.,5/23/2003,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None

51,27367,27367," Create high-resolution NHD from revised DLG data.  This  process started with published 1:24,000-scale USGS DLG hydrography files and used DOQs to revise the data.  Features  were modified to the DOQ only where compelling evidence of  change existed. DLG files were converted to ArcInfo coverages  and projected to a common projection (Albers NAD83 meters).   Coverages were then panelled into one coverage and arcs within  12 meters of each other along the neatline were snapped together if the feature type were the same.  Next, the 11-digit Hydrologic  Unit Code (HUC) boundary was obtained from the state NRCS office.   The HUC boundary was projected to the Albers projection and used  to extract features from the paneled coverage that fell partially  or entirely within the boundary.  Where necessary, the HUC  boundary was slightly modified to completely include or exclude features that incorrectly overlapped the boundary.  Substantial alterations to the HUC boundary were confirmed on the topographic maps. Next, arcs from the extracted coverage were grouped in  order to examine the connectivity of the data set for flow  determination.  In some cases it was necessary to correct  digitizing errors.  Using available evidence or cartographic  judgement, lines called connectors were added to join features  that were deemed to have flow between each other.  All arcs were  directed downstream and the nodes were prepared to help create  artificial paths through 2-D waterbodies and complete the flow through the hydrography network.  The artificial path coverage  was combined with the single line stream network to create the drainage network.  The drainage network was grouped again, and  each group was directed downstream.  Feature codes (fcodes) were assigned to landmark, network, waterbody features through a  crosswalk that converts DLG-3 attributes to fcodes, where an  fcode is a five digit integer that encodes a set of feature type characteristics.  Reach codes and associated attributes were  conflated from the 100K NHD data to the 24K drainage network  and 2-D waterbodies.  Several checks were performed to validate  the reach transfer process.Any reach codes that could not be  maintained are tracked in the Reach Cross Reference table.  New reaches that do not exist in the 100K data were defined  according to reach delineation rules (See  http://nhd.usgs.gov/chapter1/index.html).  New waterbody reaches were assigned to 2-D lake/pond and reservoir features that do not exist in the 100K NHD.  New reaches were assigned reach code values  that are sequentially ordered to 2-D and then 1-D reaches.  New 24K reach codes are larger than any existing 100K reach code in the associated Catalog Unit. Additional Geographic Names that  exist in the Geographic Names Information System (GNIS) were added  to reaches in the 24K dataset. Names for the 24K drainage network  were interactively transferred from the vector GNIS coverage.   Additional GNIS names for point and waterbody features were also  added.    ",12/17/2002," The accuracy of the attributes of the source Digital Line  Graph data is estimated to be 98.5 percent. One or more of  the following methods were used to test attribute accuracy:  manual comparison of the source with hardcopy plots;  symbolized display of the digital line graph on an  interactive computer graphic system; selected attributes  that could not be visually verified on plots or on screen  were interactively queried and verified on screen. In  addition, software validated feature types and  characteristics against a master set of types and  characteristics,checked that combinations of types and  characteristics were valid, and that types and  characteristics were valid for the delineation of the  feature. Feature types, characteristics, and other  attributes conform to the Standards for National  Hydrography Dataset - High Resolution (USGS, 1999) as of  the date they were loaded into the database. All names  on the 1:24,000-scale reaches were validated against a  April 1999 extract from the Geographic Names Information  System. The entry and identifier for the names match those  in the Geographic Names Information System. The association  of each name to reaches has been interactively checked  against the April 1999 Geographic Names Information System  names extract, however, operator error could in some cases  apply a name to a wrong reach."," Points, nodes, lines, and areas conform to topological rules.   Lines intersect only at nodes, and all nodes anchor the ends  of lines.  Lines do not overshoot or undershoot other lines  where they are supposed to meet. There are no duplicate lines.  Lines bound areas and lines identify the areas to the left and  right of the lines.  Gaps and overlaps among areas do not  exist.  All areas close."," The completeness of the data reflects the published USGS  topographic quadrangle usually, supplemented by Digital  Orthophoto Quadrangles(DOQ's). Features found on the ground may  have been eliminated or generalized on the source map because  of scale and legibility constraints.  In general, streams longer  than one mile (approximately 1.6 kilometers) were collected.  Most streams that flow from a lake were collected regardless  of their length.  Only definite channels were collected so  not all swamp/marsh features have stream/rivers delineated  through them.  Lake/ponds 100 feet or greater in the shortest  axis were collected.  Note, however, that these general rules  were applied unevenly among maps during compilation.  Transport reaches are defined on nearly all features of type  stream/river, canal/ditch, artificial path, and connector.   Waterbody reaches are defined on all lake/pond features. Detailed  capture conditions are provided for every feature type in the  Standards for National Hydrography Dataset - High Resolution  (USGS, 1999), available online through  http://mapping.usgs.gov/standards/."," Statements of horizontal positional accuracy are based on  accuracy statements made for U.S. Geological Survey topographic  quadrangle maps. These maps were compiled to meet National Map  Accuracy Standards. For horizontal accuracy, this standard is  met if at least 90 percent of points tested are within 0.02  inch (at map scale) of the true position.  Additional offsets  to positions may have been introduced where feature density is  high to improve the legibility of map symbols.In addition, the  digitizing of maps is estimated to contain a horizontal  positional error of less than or equal to 0.003 inch standard  error(at map scale) in the two component directions relative  to the source maps.  Visual comparison between the map graphic  (including digital scans of the graphic) and plots or digital  displays of points, lines, and areas, is used as control to  assess the positional accuracy of digital data. Digital map  elements along the adjoining edges of data sets are aligned if  they are within a 0.02 inch tolerance (at map scale). Features  with like dimensionality (for example, features that all are  delineated with lines), with or without like characteristics,  that are within the tolerance are aligned by moving the  features equally to a common point. Features outside the  tolerance are not moved; instead, a feature of type connector  is added to join the features."," Statements of vertical positional accuracy for elevation of  water surfaces are  based on accuracy statements made for  U.S. Geological Survey topographicquadrangle maps.  These  maps were compiled to meet National Map Accuracy Standards.   For vertical accuracy, this standard is met if at least 90  percent of well-defined points tested are within one-half  contour interval of the correct value.  Elevations of water  surface printed on the published map meet this standard;  the contour intervals of the maps vary. These elevations  were transcribed into the digital data; the accuracy of  this transcription was checked by visual comparison between  the data and the map.",FGDC Content Standards For Digital Geospatial Metadata,19940608,12/20/2002, U.S. Geological Survey in cooperation with U. S. Environmental Protection Agency and State of Utah Automated  Geographic Reference Center.,U.S. Geological Survey,Mailing and Physical ,U.S. Geological Survey,Rolla,Missouri,65401,(573) 308-3647,Monday-Friday 7AM-3PM CST,None

52,27380,27380," Added flow relationships between subbasins and other updates as appropriate.
",4/21/2003," The accuracy of the attributes of the source Digital Line  Graph data is estimated to be 98.5 percent. One or more of  the following methods were used to test attribute accuracy:  manual comparison of the source with hardcopy plots;  symbolized display of the digital line graph on an  interactive computer graphic system; selected attributes  that could not be visually verified on plots or on screen  were interactively queried and verified on screen. In  addition, software validated feature types and  characteristics against a master set of types and  characteristics,checked that combinations of types and  characteristics were valid, and that types and  characteristics were valid for the delineation of the  feature. Feature types, characteristics, and other  attributes conform to the Standards for National  Hydrography Dataset - High Resolution (USGS, 1999) as of  the date they were loaded into the database. All names  on the 1:24,000-scale reaches were validated against a  April 1999 extract from the Geographic Names Information  System. The entry and identifier for the names match those  in the Geographic Names Information System. The association  of each name to reaches has been interactively checked  against the April 1999 Geographic Names Information System  names extract, however, operator error could in some cases  apply a name to a wrong reach."," Points, nodes, lines, and areas conform to topological rules.   Lines intersect only at nodes, and all nodes anchor the ends  of lines.  Lines do not overshoot or undershoot other lines  where they are supposed to meet. There are no duplicate lines.  Lines bound areas and lines identify the areas to the left and  right of the lines.  Gaps and overlaps among areas do not  exist.  All areas close."," The completeness of the data reflects the published USGS  topographic quadrangle usually, supplemented by Digital  Orthophoto Quadrangles(DOQ's). Features found on the ground may  have been eliminated or generalized on the source map because  of scale and legibility constraints.  In general, streams longer  than one mile (approximately 1.6 kilometers) were collected.  Most streams that flow from a lake were collected regardless  of their length.  Only definite channels were collected so  not all swamp/marsh features have stream/rivers delineated  through them.  Lake/ponds 100 feet or greater in the shortest  axis were collected.  Note, however, that these general rules  were applied unevenly among maps during compilation.  Transport reaches are defined on nearly all features of type  stream/river, canal/ditch, artificial path, and connector.   Waterbody reaches are defined on all lake/pond features. Detailed  capture conditions are provided for every feature type in the  Standards for National Hydrography Dataset - High Resolution  (USGS, 1999), available online through  http://mapping.usgs.gov/standards/."," Statements of horizontal positional accuracy are based on  accuracy statements made for U.S. Geological Survey topographic  quadrangle maps. These maps were compiled to meet National Map  Accuracy Standards. For horizontal accuracy, this standard is  met if at least 90 percent of points tested are within 0.02  inch (at map scale) of the true position.  Additional offsets  to positions may have been introduced where feature density is  high to improve the legibility of map symbols.In addition, the  digitizing of maps is estimated to contain a horizontal  positional error of less than or equal to 0.003 inch standard  error(at map scale) in the two component directions relative  to the source maps.  Visual comparison between the map graphic  (including digital scans of the graphic) and plots or digital  displays of points, lines, and areas, is used as control to  assess the positional accuracy of digital data. Digital map  elements along the adjoining edges of data sets are aligned if  they are within a 0.02 inch tolerance (at map scale). Features  with like dimensionality (for example, features that all are  delineated with lines), with or without like characteristics,  that are within the tolerance are aligned by moving the  features equally to a common point. Features outside the  tolerance are not moved; instead, a feature of type connector  is added to join the features."," Statements of vertical positional accuracy for elevation of  water surfaces are  based on accuracy statements made for  U.S. Geological Survey topographicquadrangle maps.  These  maps were compiled to meet National Map Accuracy Standards.   For vertical accuracy, this standard is met if at least 90  percent of well-defined points tested are within one-half  contour interval of the correct value.  Elevations of water  surface printed on the published map meet this standard;  the contour intervals of the maps vary. These elevations  were transcribed into the digital data; the accuracy of  this transcription was checked by visual comparison between  the data and the map.",FGDC Content Standards For Digital Geospatial Metadata,19940608,12/20/2002, U.S. Geological Survey in cooperation with U. S. Environmental Protection Agency and State of Utah Automated  Geographic Reference Center.,U.S. Geological Survey,Mailing and Physical ,U.S. Geological Survey,Rolla,Missouri,65401,(573) 308-3647,Monday-Friday 7AM-3PM CST,None

53,27382,27382,Updated stream level attributes based on flow relationships produced by the flow validation process.  Stream level updates were based upon names for named reaches and the arbolate sum for unnamed reaches.  Arbolate sum for any reach on the network is the sum of the lengths of all upstream reaches connected to that reach through flow relationships.,4/24/2003,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None

54,27498,27498," Create high-resolution NHD from DLG data and USFS CFF data.
 DLG files were converted to NHD datasets using
 the 3-to-F process. These files were then edited to remove
 any conversion errors and to add any required centerlines. 
 Once all of the Hi-resolution datasets were generated then a 
 Hi-resolution CU was created using one of two paths. 
 The first path loaded all of the quad NHD datasets into the FOD
 and then unloaded a Hi-resolution CU dataset. The second path
 used FTI to generate the Hi-resolution CU by combining the quad
 based datasets into a single CU dataset. During this combination
 any of the 1-D features with the same feature type were snapped 
 together using a user specified tolerance. After combining the
 datasets, all of the features that fall outside the 100K HUC boundary
 were removed. At this point any additional connectors were added
 to the data.
 After the Hi-resolution CU was generated, if was conflated to 
 the appropriate 100K CU. Prior to the actual conflation all of 
 the Hi-resolution arc directions where modified to be directed
 downstream. Next conflation was performed to conflate reach codes 
 and associated flow relationships from the 100K NHD data to the 
 Hi-Resoultion dataset. After the conflation process, editing was
 performed to correct any conflation errors. At this point new
 network and 2-D waterbody reaches and associated flow were added 
 to the dataset. Appropriate stream levels and flow sequences were
 then applied.      
 Additional Geographic Names were applied using the appropriate
 Geographic Names Information System (GNIS) source coverages.   
",1/21/2003," The accuracy of the attributes of the Digital Line Graph 
 data is estimated to be 98.5 percent. One or more of the 
 following methods were used to test attribute accuracy: 
 manual comparison of the source with hardcopy plots; 
 symbolized display of the digital line graph on an 
 interactive computer graphic system; selected attributes 
 that could not be visually verified on plots or on screen 
 were interactively queried and verified on screen. In 
 addition, software validated feature types and 
 characteristics against a master set of types and 
 characteristics,checked that combinations of types and 
 characteristics were valid, and that types and 
 characteristics were valid for the delineation of the 
 feature. Feature types, characteristics, and other 
 attributes conform to the Standards for National 
 Hydrography Dataset - High Resolution (USGS, 1999) as of 
 the date they were loaded into the database. All names 
 on the 1:24,000-scale reaches were validated against a 
 April 1999 extract from the Geographic Names Information 
 System. The entry and identifier for the names match those 
 in the Geographic Names Information System. The association 
 of each name to reaches has been interactively checked 
 against the April 1999 Geographic Names Information System 
 names extract, however, operator error could in some cases 
 apply a name to a wrong reach. The accuracy of CFF attributes
 is unknown. 
"," Points, nodes, lines, and areas conform to topological rules.  
 Lines intersect only at nodes, and all nodes anchor the ends 
 of lines.  Lines do not overshoot or undershoot other lines 
 where they are supposed to meet. There are no duplicate lines. 
 Lines bound areas and lines identify the areas to the left and 
 right of the lines.  Gaps and overlaps among areas do not 
 exist.  All areas close.
"," The completeness of the data reflects the published map and 
 other sources.  Features found on the ground may have been 
 eliminated or generalized on the source graphic because of 
 scale and legibility constraints. In general, streams longer 
 than one mile (approximately 1.6 kilometers) were collected. 
 Most streams that flow from a lake were collected regardless 
 of their length. Only definite channels were collected so 
 not all swamp/marsh features have stream/rivers delineated 
 through them.  Lake/ponds 100 feet or greater in the shortest 
 axis were collected.  Note, however, that these general rules 
 were applied unevenly among maps during compilation. Transport
 reaches are defined on nearly all features of type stream/river,
 canal/ditch, artificial path, and connector. Detailed capture  
 conditions are provided for every feature type in the Standards 
 for National Hydrography Dataset - High Resolution (USGS, 1999),
 available online through http://mapping.usgs.gov/standards/.
"," Statements of horizontal positional accuracy are based on 
 accuracy statements made for U.S. Geological Survey topographic 
 quadrangle maps. These maps were compiled to meet National Map 
 Accuracy Standards. For horizontal accuracy, this standard is 
 met if at least 90 percent of points tested are within 0.02 
 inch (at map scale) of the true position.  Additional offsets 
 to positions may have been introduced where feature density is 
 high to improve the legibility of map symbols.In addition, the 
 digitizing of maps is estimated to contain a horizontal 
 positional error of less than or equal to 0.003 inch standard 
 error(at map scale) in the two component directions relative 
 to the source maps.  Visual comparison between the map graphic 
 (including digital scans of the graphic) and plots or digital 
 displays of points, lines, and areas, is used as control to 
 assess the positional accuracy of digital data. Digital map 
 elements along the adjoining edges of data sets are aligned if 
 they are within a 0.02 inch tolerance (at map scale). Features 
 with like dimensionality (for example, features that all are 
 delineated with lines), with or without like characteristics, 
 that are within the tolerance are aligned by moving the 
 features equally to a common point. Features outside the 
 tolerance are not moved; instead, a feature of type connector 
 is added to join the features. 
"," Statements of vertical positional accuracy for elevation of 
 water surfaces are  based on accuracy statements made for 
 U.S. Geological Survey topographicquadrangle maps.  These 
 maps were compiled to meet National Map Accuracy Standards.  
 For vertical accuracy, this standard is met if at least 90 
 percent of well-defined points tested are within one-half 
 contour interval of the correct value.  Elevations of water 
 surface printed on the published map meet this standard; 
 the contour intervals of the maps vary. These elevations 
 were transcribed into the digital data; the accuracy of 
 this transcription was checked by visual comparison between 
 the data and the map.
","FGDC Content Standards For Digital Geospatial Metadata
","19940608
",1/1/1901," U.S. Geological Survey in cooperation with U. S.
 Forest Service
","U.S. Geological Survey
","Mailing and Physical 
"," U.S. Geological Survey
 Rocky Mountain Mapping Center
 P.O. Box 25046,  MS 509
","Denver
","Colorado
","80225-0046
","(303) 202-4526
","Monday-Friday 7AM-3PM CST
",None

55,27505,27505," Create high-resolution NHD from DLG data and USFS CFF data.
 DLG files were converted to NHD datasets using
 the 3-to-F process. These files were then edited to remove
 any conversion errors and to add any required centerlines. 
 Once all of the Hi-resolution datasets were generated then a 
 Hi-resolution CU was created using one of two paths. 
 The first path loaded all of the quad NHD datasets into the FOD
 and then unloaded a Hi-resolution CU dataset. The second path
 used FTI to generate the Hi-resolution CU by combining the quad
 based datasets into a single CU dataset. During this combination
 any of the 1-D features with the same feature type were snapped 
 together using a user specified tolerance. After combining the
 datasets, all of the features that fall outside the 100K HUC boundary
 were removed. At this point any additional connectors were added
 to the data.
 After the Hi-resolution CU was generated, if was conflated to 
 the appropriate 100K CU. Prior to the actual conflation all of 
 the Hi-resolution arc directions where modified to be directed
 downstream. Next conflation was performed to conflate reach codes 
 and associated flow relationships from the 100K NHD data to the 
 Hi-Resoultion dataset. After the conflation process, editing was
 performed to correct any conflation errors. At this point new
 network and 2-D waterbody reaches and associated flow were added 
 to the dataset. Appropriate stream levels and flow sequences were
 then applied.      
 Additional Geographic Names were applied using the appropriate
 Geographic Names Information System (GNIS) source coverages.   
",1/28/2003," The accuracy of the attributes of the Digital Line Graph 
 data is estimated to be 98.5 percent. One or more of the 
 following methods were used to test attribute accuracy: 
 manual comparison of the source with hardcopy plots; 
 symbolized display of the digital line graph on an 
 interactive computer graphic system; selected attributes 
 that could not be visually verified on plots or on screen 
 were interactively queried and verified on screen. In 
 addition, software validated feature types and 
 characteristics against a master set of types and 
 characteristics,checked that combinations of types and 
 characteristics were valid, and that types and 
 characteristics were valid for the delineation of the 
 feature. Feature types, characteristics, and other 
 attributes conform to the Standards for National 
 Hydrography Dataset - High Resolution (USGS, 1999) as of 
 the date they were loaded into the database. All names 
 on the 1:24,000-scale reaches were validated against a 
 April 1999 extract from the Geographic Names Information 
 System. The entry and identifier for the names match those 
 in the Geographic Names Information System. The association 
 of each name to reaches has been interactively checked 
 against the April 1999 Geographic Names Information System 
 names extract, however, operator error could in some cases 
 apply a name to a wrong reach. The accuracy of CFF attributes
 is unknown. 
"," Points, nodes, lines, and areas conform to topological rules.  
 Lines intersect only at nodes, and all nodes anchor the ends 
 of lines.  Lines do not overshoot or undershoot other lines 
 where they are supposed to meet. There are no duplicate lines. 
 Lines bound areas and lines identify the areas to the left and 
 right of the lines.  Gaps and overlaps among areas do not 
 exist.  All areas close.
"," The completeness of the data reflects the published map and 
 other sources.  Features found on the ground may have been 
 eliminated or generalized on the source graphic because of 
 scale and legibility constraints. In general, streams longer 
 than one mile (approximately 1.6 kilometers) were collected. 
 Most streams that flow from a lake were collected regardless 
 of their length. Only definite channels were collected so 
 not all swamp/marsh features have stream/rivers delineated 
 through them.  Lake/ponds 100 feet or greater in the shortest 
 axis were collected.  Note, however, that these general rules 
 were applied unevenly among maps during compilation. Transport
 reaches are defined on nearly all features of type stream/river,
 canal/ditch, artificial path, and connector. Detailed capture  
 conditions are provided for every feature type in the Standards 
 for National Hydrography Dataset - High Resolution (USGS, 1999),
 available online through http://mapping.usgs.gov/standards/.
"," Statements of horizontal positional accuracy are based on 
 accuracy statements made for U.S. Geological Survey topographic 
 quadrangle maps. These maps were compiled to meet National Map 
 Accuracy Standards. For horizontal accuracy, this standard is 
 met if at least 90 percent of points tested are within 0.02 
 inch (at map scale) of the true position.  Additional offsets 
 to positions may have been introduced where feature density is 
 high to improve the legibility of map symbols.In addition, the 
 digitizing of maps is estimated to contain a horizontal 
 positional error of less than or equal to 0.003 inch standard 
 error(at map scale) in the two component directions relative 
 to the source maps.  Visual comparison between the map graphic 
 (including digital scans of the graphic) and plots or digital 
 displays of points, lines, and areas, is used as control to 
 assess the positional accuracy of digital data. Digital map 
 elements along the adjoining edges of data sets are aligned if 
 they are within a 0.02 inch tolerance (at map scale). Features 
 with like dimensionality (for example, features that all are 
 delineated with lines), with or without like characteristics, 
 that are within the tolerance are aligned by moving the 
 features equally to a common point. Features outside the 
 tolerance are not moved; instead, a feature of type connector 
 is added to join the features. 
"," Statements of vertical positional accuracy for elevation of 
 water surfaces are  based on accuracy statements made for 
 U.S. Geological Survey topographicquadrangle maps.  These 
 maps were compiled to meet National Map Accuracy Standards.  
 For vertical accuracy, this standard is met if at least 90 
 percent of well-defined points tested are within one-half 
 contour interval of the correct value.  Elevations of water 
 surface printed on the published map meet this standard; 
 the contour intervals of the maps vary. These elevations 
 were transcribed into the digital data; the accuracy of 
 this transcription was checked by visual comparison between 
 the data and the map.
","FGDC Content Standards For Digital Geospatial Metadata
","19940608
",1/1/1901," U.S. Geological Survey in cooperation with U. S.
 Forest Service
","U.S. Geological Survey
","Mailing and Physical 
"," U.S. Geological Survey
 Rocky Mountain Mapping Center
 P.O. Box 25046,  MS 509
","Denver
","Colorado
","80225-0046
","(303) 202-4526
","Monday-Friday 7AM-3PM CST
",None

56,27507,27507," Added flow relationships between subbasins and other updates as appropriate.
",4/21/2003," The accuracy of the attributes of the Digital Line Graph 
 data is estimated to be 98.5 percent. One or more of the 
 following methods were used to test attribute accuracy: 
 manual comparison of the source with hardcopy plots; 
 symbolized display of the digital line graph on an 
 interactive computer graphic system; selected attributes 
 that could not be visually verified on plots or on screen 
 were interactively queried and verified on screen. In 
 addition, software validated feature types and 
